period,starting_cash_usd,slippage_bps,final_equity_usd,total_return_pct,max_drawdown_pct,average_exposure_pct,maximum_positions,sessions_entirely_cash,filled_buys,filled_sells,modeled_slippage_usd_already_in_equity,spy_total_return_pct
development,100,7,100,0.0,0.0,0.0,0,1005,0,0,0,66.4275
temporal_check,100,7,100,0.0,0.0,0.0,0,420,0,0,0,33.2338
development,100,15,100,0.0,0.0,0.0,0,1005,0,0,0,66.4275
temporal_check,100,15,100,0.0,0.0,0.0,0,420,0,0,0,33.2338
development,100,25,100,0.0,0.0,0.0,0,1005,0,0,0,66.4275
temporal_check,100,25,100,0.0,0.0,0.0,0,420,0,0,0,33.2338
development,250,7,429.15761100000003,71.663,-11.4025,16.18770824144948,4,151,20,17,0.5923889999999865,66.4275
temporal_check,250,7,249.40224100000003,-0.2391,-3.7176,3.6139744754212018,2,291,3,3,0.08775899999999837,33.2338
development,250,15,428.48059500000005,71.3922,-11.4296,16.2070625670711,4,151,20,17,1.2694050000000008,66.4275
temporal_check,250,15,249.301945,-0.2792,-3.7302,3.6146209161250047,2,291,3,3,0.18805499999999853,33.2338
development,250,25,420.616025,68.2464,-11.6663,16.107510042741445,4,171,18,16,1.9539749999999607,66.4275
temporal_check,250,25,249.17657499999999,-0.3294,-3.746,3.615429291317025,2,291,3,3,0.3134249999999916,33.2338
development,500,7,1216.5428782000001,143.3086,-14.518,35.22647906661932,8,41,77,66,4.8231217999998695,66.4275
temporal_check,500,7,508.38413699999995,1.6768,-6.3819,11.304888205627812,3,104,11,9,0.4858629999999948,33.2338
development,500,15,1211.3311890000002,142.2662,-14.5804,35.325045546056415,8,41,77,66,10.334810999999986,66.4275
temporal_check,500,15,507.8288649999999,1.5658,-6.4143,11.310549774269624,3,104,11,9,1.0411350000000041,33.2338
development,500,25,1200.582765,140.1166,-14.7056,35.42142516283866,8,41,77,66,17.22323499999964,66.4275
temporal_check,500,25,507.13477500000005,1.427,-6.4548,11.317636224938424,3,104,11,9,1.7352249999999714,33.2338
development,1000,7,2961.053142810001,196.1053,-15.9422,51.52866996534329,10,0,195,172,21.976557189999347,66.4275
temporal_check,1000,7,1085.4092054999999,8.5409,-8.1732,23.4254511682872,6,1,40,30,3.1857944999998438,33.2338
development,1000,15,2935.6132269499994,193.5613,-15.9568,51.598376251651665,10,0,192,172,46.73947305000013,66.4275
temporal_check,1000,15,1083.88647,8.3886,-8.2082,23.42974107181537,6,1,40,30,6.823530000000002,33.2338
development,1000,25,2735.0743857500015,173.5074,-16.5094,50.82154129184328,10,0,185,166,73.12131424999849,66.4275
temporal_check,1000,25,1079.6582500000006,7.9658,-8.2518,23.45112606591886,6,1,40,30,11.371749999999789,33.2338
